"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Keon Coleman","BUF","WR51","0.3","3.8","0.0","52.4","824.6","6.1","0.5","170.9"
"Joe Mixon","HOU","RB29","178.2","716.2","6.4","30.4","233.2","1.3","0.9","170.0"
"Austin Ekeler","WAS","RB30","107.5","483.3","4.6","47.2","387.0","1.8","1.4","169.9"
"Darnell Mooney","ATL","WR52","0.0","1.5","0.0","58.6","830.9","4.5","0.4","168.0"
"Kaleb Johnson","PIT","RB31","196.7","828.7","6.4","23.2","178.0","1.0","1.7","165.0"
"Marvin Mims Jr.","DEN","WR53","11.9","49.4","0.1","52.9","699.2","5.4","0.6","159.7"
"Tyler Warren","IND","TE9","0.0","10.5","0.0","63.2","681.8","4.7","1.1","158.5"
"Evan Engram","DEN","TE10","0.0","0.0","0.0","69.9","625.3","4.2","0.9","155.6"
"Travis Etienne Jr.","JAC","RB32","147.5","597.0","3.9","38.4","284.9","1.2","0.9","154.8"
"Adam Thielen","CAR","WR54","0.0","1.8","0.0","61.5","656.2","4.4","0.5","152.4"
"Wan'Dale Robinson","NYG","WR55","2.0","15.6","0.0","69.4","625.0","3.1","0.5","151.3"
"Jake Ferguson","DAL","TE11","0.0","0.0","0.0","67.9","623.0","3.8","1.2","150.6"
"Marquise Brown","KC","WR56","0.3","2.0","0.0","55.2","681.1","4.5","0.2","150.1"
"Cedric Tillman","CLE","WR57","0.7","0.8","0.0","56.1","703.7","4.0","0.9","148.4"
"Tucker Kraft","GB","TE12","0.0","0.0","0.0","55.2","652.7","4.8","0.8","147.7"
"Keenan Allen","LAC","WR58","0.3","2.0","0.0","55.6","640.5","4.8","0.6","147.4"
"Rashod Bateman","BAL","WR59","0.0","0.6","0.0","45.6","686.4","5.6","0.1","147.4"
"Zach Charbonnet","SEA","RB33","135.6","567.4","4.7","33.7","247.9","0.9","0.8","147.2"
"Jacory Croskey-Merritt","WAS","RB34","162.5","682.8","5.9","21.1","168.1","1.2","0.9","147.1"
"J.K. Dobbins","DEN","RB35","145.9","648.7","4.7","29.1","187.3","1.2","1.2","145.9"
"Javonte Williams","DAL","RB36","167.8","623.0","4.2","32.8","208.2","0.9","0.6","145.3"
